SweepValue,AM,AC,SEP,RC,CL
0,76.3765126428425,75.504,76.0637430670534,50.9465570957145,81.9863529779146
5,76.3765126428425,75.504,76.0637430670534,50.9465570957145,81.9863529779146
10,76.3765126428425,75.504,76.0637430670534,50.9465570957145,81.9863529779146
15,76.3765126428425,75.504,76.0637430670534,50.9465570957145,81.9863529779146
20,76.3765126428425,75.504,76.0637430670534,50.9465570957145,81.9863529779146
25,76.3765126428425,75.504,76.0637430670534,50.9465570957145,81.9863529779146
30,77.6253072678816,75.6056603303127,76.9644554222627,54.9602463888285,82.2421791188626
35,78.8741018929208,75.7073206606254,77.8651677774721,58.9739356819424,82.4980052598106
40,80.1228965179599,75.8089809909381,78.7658801326814,62.9876249750563,82.7538314007587
45,81.371691142999,75.9106413212508,79.6665924878908,67.0013142681702,83.0096575417067
50,81.781182742676,77.7694790681439,80.5023587513448,71.0009857011277,83.5668646524708
55,82.1906743423529,79.628316815037,81.3381250147987,75.0006571340851,84.1240717632349
60,82.6001659420298,81.48715456193,82.1738912782527,79.0003285670426,84.681278873999
65,83.0096575417067,83.3459923088231,83.0096575417067,83,85.2384859847631
70,83.1926022722504,84.8539942316173,83.1261577119031,83.167039487479,86.0559743486554
75,83.3755470027941,86.3619961544115,83.2426578820996,83.3340789749581,86.8734627125476
80,83.5584917333379,87.8699980772058,83.359158052296,83.5011184624371,87.6909510764399
85,83.7414364638816,89.378,83.4756582224924,83.6681579499161,88.5084394403322
90,83.7414364638816,89.378,83.4756582224924,83.6681579499161,88.5084394403322
95,83.7414364638816,89.378,83.4756582224924,83.6681579499161,88.5084394403322
100,83.7414364638816,89.378,83.4756582224924,83.6681579499161,88.5084394403322
