Row,AM,AC,SEP,RC,CL,TeachingScore,PerformanceGrade
AM,1,0.0319739286070595,0.0213445580237035,0.0341080425536589,0.0597196638393174,0.537248046752822,0.139395125916665
AC,0.0319739286070595,1,0.0139905154735486,-0.0252254161241131,-0.0115033196225282,0.0300353808792946,0.37142059817604
SEP,0.0213445580237035,0.0139905154735486,1,-0.0070858322903271,-0.00993114401295389,0.227551478173913,0.0499746450024026
RC,0.0341080425536589,-0.0252254161241131,-0.0070858322903271,1,-0.015646354550413,0.00112073049590639,0.851267275268769
CL,0.0597196638393174,-0.0115033196225282,-0.00993114401295389,-0.015646354550413,1,0.738092769806718,0.125991552670476
TeachingScore,0.537248046752822,0.0300353808792946,0.227551478173913,0.00112073049590639,0.738092769806718,1,0.203412138716842
PerformanceGrade,0.139395125916665,0.37142059817604,0.0499746450024026,0.851267275268769,0.125991552670476,0.203412138716842,1
