SNR_dB,IT1_MAE,IT2_MAE,IT1_RMSE,IT2_RMSE,IT1_Std,IT2_Std,p_ttest,p_wilcoxon
40,0.0780343664352287,0.0739812608204786,0.0990989028901001,0.0924636527594856,0.0977831728603023,0.09230456150574,1.54475992683703e-05,1.22224789661406e-07
30,0.247100274284871,0.233742928043084,0.313616824318152,0.292970855924183,0.308809950708637,0.29200753355386,6.87185938729429e-06,5.70129026699684e-08
20,0.783285912525316,0.706437386692324,1.00079200710015,0.88457904691162,0.98263252521656,0.877378092171315,1.47849571020127e-21,1.82773822728286e-21
10,2.39705458750748,2.17784694052561,3.14800764397663,2.76985470458373,3.03334314773146,2.71432893735055,1.42772045760442e-69,1.84105474808331e-59
